
Abigail Pogrebin
Taylor Branch
Michael O' Malley
Pattie Mallette
Sherman Alexie
Zhao Ziyang
Richard Davis
Daniel Alarcón
George V. Higgins
Frank Chin
Kathryn Lasky
Jack Broughton
Patrick McGrath (novelist)
Fred Uhlman
Kitty Burns Florey
Joseph Furphy
Eve Langley
Jennifer Steil
Barry Nalebuff
Andy Warhol
Charlie Jane Anders
Paul Howard (journalist)
Tony Duvert
Alessandro Baricco
Franklin Foer
Joseph Delaney
Albert Graham Ingalls
Duncan Barrett
Johnny Rogan
Paul Edwards
Perihan Mağden
Roger Penrose
Jason Bulmahn
Junot Díaz
Jon Krakauer
H. R. F. Keating
Dustin Thomason
Mark Dunn
Elizabeth Ellen
Associated Press staff
Charles R. Jackson
Bernard Prézelin
Paul Barbera
Nevada Barr
Natan Sharansky
Paul Davies
E. E. SMITH
A. J. Jacobs
Justin Torres
Christie Golden
Deborah Howe
Philip Roth
Richard Flanagan
Benjamin Errett
Philipp Meyer
Jessica Mitford
Humayun Azad
James Ellroy
Irene Hunt
Sam Williams (American journalist)
Rudy Rucker
Julie Hecht
Sally Bedell Smith
Taslima Nasrin
Alexei Panshin
Dominick Dunne
John Sack
Roark Bradford
Rebecca Gablé
Martin Dugard (author)
Christopher Locke
Government of Tamil Nadu
Michael Covel
Karl Zinsmeister
Raymond E. Feist
Miles Tredinnick
L. H. Evers
Isaac Asimov
Michael Morpurgo
Diane Fanning
Mary Roberts Rinehart
Naoki Inose
Michael Booth
H. G. Wells
Elizabeth Berg (author)
Luigi Pirandello
Andrea Wulf
Ali Smith
Guy Boothby
Bertha Runkle
Patricia Cornwell
Terry Nation
Javed Hayat
Charles de Lint
John Knowles
Julie Couillard
Booth Tarkington
Ned Vizzini
Paul Brown
Howard Fast
Kathy Tyers
C. L. Moore
Sophia Romero
Ben Goldacre
Bernard Cornwell
Alice McDermott
Hilary Thayer Hamann
James Michener
Orson Scott Card
John Ruskin
David Bergen
Jack London
André Gide
Niall Ferguson
Carol Shaben
Lauren St. John
Carol Kendall
Agatha Christie
Kent Haruf
Wayne G. Hammond
Harry Ricketts
Joanna Cole (author)
Engle
Winston Churchill (novelist)
Mike Davis (scholar)
Sui Sin Far
Margaret Weis
Jonah Lehrer
Carlo Maria Martini
Gemma Malley
Anjali Joseph
Anne Mullens
Julian Rathbone
Ian Serraillier
Donna Tartt
Joel C. Rosenberg
Isabelle Holland
Moni Mohsin
Marilyn Durham
Lawrence M. Krauss
Susan Mayse
Henry Winkler
Samuel R. Delany
Martha Ansara
Roger Zelazny
Ruth Benedict
Randall Silvis
James Robert Baker
Roger Fisher (academic)
Nick Bostrom
Clem Martini
Allama Muhammad Iqbal
Chang-Rae Lee
Erwin Schrödinger
Stephen Baxter (author)
Australian Government
Ousmane Sembène
Stephen Dau
Adrian Slywotzky
Christina Stead
Jennifer Egan
Dale Peck
Tom Perrotta
Marian Engel
Lorrie Moore
Bernie Sanders
Scott Bakker
Joshua Ferris
T. C. Worsley
David R. Russell
William Baker (fashion designer)
Jack Vance
Katty Kay
Nava Macmel-Atir
R. A. Lafferty
J. G. Ballard
Vikram Balagopal
